1000 1000
944 581 6
70 1 29
355 941 31
841 163 1
396 118 4
305 849 25
874 742 33
216 144 10
99 180 25
818 332 18
868 347 24
816 595 194
395 730 11
714 865 16
575 424 7
553 196 161
829 800 45
375 494 45
563 710 38
523 425 18
338 991 21
907 892 48
63 44 40
944 607 24
295 673 18
704 22 20
644 917 37
775 705 18
539 191 27
35 150 21
528 818 20
935 835 25
263 726 24
7 78 89
40 726 42
828 557 40
286 423 79
150 142 5
242 134 48
5 50 33
570 470 12
422 329 36
434 485 16
377 84 49
191 94 7
218 693 32
913 315 48
555 110 18
523 172 5
313 276 123
252 251 37
539 207 41
631 554 11
951 996 114
315 540 72
719 836 19
180 370 3
649 504 195
887 74 3
334 106 7
868 799 18
15 965 38
899 576 12
993 850 169
472 750 22
656 493 40
878 353 16
923 967 2
560 241 31
519 670 43
413 590 144
59 229 35
788 369 49
194 154 166
154 543 11
376 684 22
414 391 20
691 761 5
915 507 49
293 920 2
906 901 25
241 571 28
843 492 16
280 102 31
155 414 20
61 142 9
719 130 4
204 339 13
277 996 32
92 477 43
146 917 8
884 66 493
894 243 2
645 919 29
412 982 14
527 895 32
168 608 41
772 710 361
475 623 11
799 610 27
17 179 22
162 218 27
224 176 26
857 913 38
67 655 50
234 713 17
693 104 11
435 798 31
747 606 26
155 708 22
60 971 27
299 189 20
48 759 8
367 763 37
482 372 346
99 545 19
870 510 1
264 221 17
166 569 35
591 788 8
763 266 28
678 414 37
632 74 13
604 30 37
845 655 1
192 421 6
21 128 42
743 366 373
807 38 20
409 275 45
947 915 51
692 731 11
797 206 37
68 376 2
341 862 15
339 485 38
325 569 101
347 729 37
40 670 28
801 9 18
170 185 42
689 144 1
429 882 362
364 353 13
407 840 45
572 853 39
334 920 18
30 757 19
229 474 10
359 622 35
674 134 26
840 452 40
389 920 21
261 63 22
306 397 85
260 132 35
239 825 12
829 996 26
168 598 146
116 22 29
909 902 44
205 182 50
848 692 9
649 595 26
875 270 23
247 791 491
996 756 26
250 107 27
568 760 28
264 818 11
696 193 42
607 201 43
892 690 23
280 482 8
619 121 8
482 323 41
979 942 28
743 270 40
317 865 20
856 64 34
254 500 92
154 832 11
723 906 41
419 828 18
175 347 24
869 566 79
789 85 29
684 172 17
409 175 435
356 505 44
708 172 33
800 342 41
469 461 24
111 631 31
340 480 29
223 611 38
459 795 35
207 139 15
932 232 11
571 272 28
106 452 37
308 765 20
605 705 38
609 842 11
640 133 33
740 119 40
884 698 14
235 523 11
906 276 44
14 395 33
486 609 19
407 131 19
992 634 44
338 630 475
423 28 28
127 584 16
350 259 46
722 244 32
491 730 193
418 849 33
298 379 24
320 675 353
159 291 37
384 309 44
219 188 39
674 233 9
28 723 38
370 155 17
595 144 10
164 726 9
517 15 2
226 368 13
736 123 4
487 67 21
467 117 34
953 306 36
935 820 39
268 519 20
363 870 48
84 796 3
16 201 18
197 154 34
303 996 49
803 802 43
502 850 12
252 455 46
969 594 42
614 229 32
294 831 163
608 166 49
199 738 149
50 344 16
483 981 37
543 725 6
634 816 25
587 187 25
890 733 46
388 80 3
541 55 146
41 449 32
141 282 38
651 71 48
847 71 2
450 382 49
59 937 48
482 798 130
508 139 105
377 256 164
181 311 13
596 885 23
673 853 41
948 46 37
656 257 5
870 832 8
286 457 37
49 220 91
34 141 3
959 363 29
992 717 28
452 48 27
279 639 4
868 101 6
122 870 15
582 940 22
590 781 71
620 482 40
924 290 146
108 185 21
683 555 2
177 874 8
306 970 43
6 70 43
167 100 11
998 523 30
340 517 22
552 854 35
613 754 25
823 558 49
53 85 27
324 625 5
489 4 47
851 836 36
494 895 37
179 407 17
342 314 35
556 805 17
67 547 32
903 840 75
929 909 11
321 250 7
724 995 11
792 984 36
283 514 11
588 510 11
166 720 21
773 481 100
360 99 46
91 591 42
352 613 25
183 932 18
24 245 41
752 546 15
576 413 16
142 811 26
151 30 39
999 54 7
240 621 8
946 515 237
231 899 12
606 861 33
22 922 25
894 242 10
789 152 18
161 140 21
531 276 25
569 942 85
195 454 3
197 586 28
41 601 42
66 676 337
795 819 29
436 858 21
760 408 2
125 556 41
137 646 37
434 665 334
235 648 13
924 208 25
821 358 23
524 33 10
39 121 35
336 11 50
900 360 8
5 909 42
330 433 40
338 63 23
408 492 37
157 879 290
653 986 35
554 194 37
766 25 10
155 335 18
178 108 18
566 19 31
246 19 4
133 134 34
349 320 50
585 335 32
172 440 25
638 113 46
61 313 40
613 713 34
573 804 7
676 812 22
453 713 43
437 729 47
50 568 34
861 731 33
53 517 22
453 475 10
113 21 20
55 608 10
922 300 2
662 259 23
137 61 77
929 854 36
803 802 48
657 249 31
172 655 5
935 499 381
533 891 34
795 998 71
81 998 11
418 8 43
487 99 184
782 982 39
847 117 40
621 927 211
704 576 2
701 917 128
15 161 31
828 382 25
298 182 47
991 216 27
432 582 47
807 432 40
981 459 40
587 12 29
141 571 12
40 748 8
323 355 35
958 307 38
130 98 32
951 965 13
165 264 15
988 900 28
729 90 45
883 856 27
664 412 5
679 576 11
113 958 48
827 413 31
289 801 4
692 967 43
781 607 46
188 752 15
762 492 87
577 938 45
810 99 20
951 645 27
379 223 11
446 6 21
790 116 28
605 9 12
229 801 37
339 739 40
882 313 42
461 810 15
21 401 12
196 537 42
67 617 47
475 654 29
942 391 10
216 390 40
313 398 45
770 913 30
570 83 13
247 311 32
87 222 10
990 26 50
967 611 44
324 758 34
2 447 35
711 327 47
100 526 12
337 206 2
725 628 11
114 466 2
475 470 13
238 452 29
166 978 188
540 421 25
614 495 10
839 958 199
876 992 25
588 338 20
105 956 25
584 913 68
588 499 46
818 32 31
236 420 195
720 106 24
328 62 15
640 709 24
405 931 10
621 450 2
527 341 31
268 235 3
216 956 14
23 117 18
847 892 18
686 914 15
980 672 7
288 405 45
905 175 12
437 300 62
151 793 1
195 2 49
144 18 41
877 506 5
814 538 17
60 973 19
364 198 42
544 635 50
1000 459 44
552 809 40
435 178 35
550 576 35
431 484 38
137 289 48
595 312 448
874 750 15
557 364 6
178 296 112
126 653 1
774 407 16
272 741 46
699 169 38
211 686 113
126 510 49
237 377 2
786 831 30
103 702 48
661 454 26
51 560 29
300 419 22
558 255 191
890 992 42
416 843 18
644 509 16
820 305 132
968 987 68
334 482 48
943 392 25
619 251 3
473 407 43
509 473 2
462 27 24
880 764 50
241 789 11
795 991 40
333 982 44
549 96 20
241 787 7
222 719 11
651 122 385
880 582 482
378 34 162
707 442 33
623 281 17
319 440 41
805 668 11
823 501 27
733 693 398
95 736 23
865 790 174
536 463 3
260 395 28
464 525 16
341 552 6
386 375 162
426 203 46
112 9 350
698 934 32
887 360 12
475 677 27
324 698 43
388 324 14
746 602 15
669 128 103
72 346 42
661 109 48
504 333 25
199 92 60
986 416 12
152 163 2
698 50 27
966 845 15
532 682 46
946 926 21
981 324 7
237 373 24
142 891 5
152 110 31
56 420 1
382 985 24
846 829 14
920 524 266
743 418 39
350 619 19
993 0 37
798 43 44
951 375 33
206 313 27
976 744 29
126 355 54
694 802 157
796 748 21
836 74 26
99 30 152
61 111 4
777 623 18
471 940 3
303 793 29
218 477 22
724 526 27
885 770 22
120 343 24
180 193 39
27 495 22
303 118 32
530 380 12
818 73 35
309 9 44
872 28 33
693 957 4
503 278 8
924 847 72
238 464 48
601 810 86
59 348 12
726 883 41
106 335 45
477 6 35
652 379 4
269 576 4
51 103 33
684 859 13
442 446 284
197 422 37
454 404 42
258 489 7
461 334 7
383 690 168
836 277 30
459 124 24
475 539 2
70 887 10
359 495 85
593 236 3
268 749 50
402 574 39
23 571 26
124 88 32
663 495 23
521 381 49
846 329 4
812 880 29
907 782 183
325 283 36
327 360 37
192 904 43
483 971 42
921 257 7
81 901 3
861 221 48
657 228 4
520 889 35
43 850 3
664 819 11
276 460 122
523 345 34
689 102 43
42 1 2 1 4 1 2 2 8 1 3 4 1 5 9 5 9 10 13 11 11 8 4 13 3 7 14 24 24 17 1 27 25 26 21 13 10 10 8 3 30 20
59 1 1 3 2 2 6 7 5 7 4 4 12 9 3 2 13 9 11 15 5 8 19 2 23 5 9 2 15 17 24 8 12 6 22 18 10 7 38 35 27 33 31 16 7 5 11 37 6 25 44 27 36 34 30 24 32 56 48
69 1 1 1 4 3 6 4 5 3 10 5 12 6 2 4 13 12 12 11 3 20 5 23 8 18 13 26 8 6 4 8 5 2 34 35 9 28 33 23 19 41 21 30 5 34 38 41 18 4 14 38 50 5 31 23 11 41 28 56 10 12 55 28 63 15 63 41 15
75 1 2 2 2 3 1 4 4 6 4 7 3 6 4 2 9 17 11 10 11 20 9 23 12 23 22 3 12 27 13 3 28 13 15 35 19 24 22 22 5 1 41 37 42 7 40 15 44 16 8 15 44 33 49 35 51 36 35 57 38 30 36 52 17 64 11 39 64 55 58 45 2 3 40
54 1 1 2 1 5 6 4 7 7 7 6 11 9 14 5 9 16 15 7 2 12 3 3 15 5 3 3 14 11 18 21 32 24 29 19 27 19 4 2 22 29 37 30 14 5 23 28 47 21 29 27 37 12
67 1 1 3 4 3 1 5 7 8 2 2 7 8 1 15 12 3 10 7 13 1 17 2 10 4 6 14 5 5 13 17 15 25 6 31 32 23 35 16 29 23 42 41 40 24 36 11 9 17 9 48 24 38 45 16 15 8 4 8 55 18 4 9 46 22 31
22 1 1 2 1 5 1 1 2 2 7 3 2 1 8 2 6 12 5 16 1 6
85 1 2 2 2 2 6 2 7 4 1 1 12 10 8 15 4 9 9 12 8 17 16 19 11 23 12 10 22 25 15 2 28 6 3 34 10 19 13 21 30 35 17 10 13 30 12 46 5 5 17 25 49 30 31 17 29 25 17 56 53 23 37 33 35 18 4 56 30 68 59 13 16 69 20 48 39 24 16 56 77 79 36 58 43
3 1 2
21 1 1 3 2 3 3 4 7 5 7 2 9 2 3 13 10 8 18 17 9
22 1 1 3 3 4 3 7 4 7 8 2 5 10 14 3 4 1 7 13 13 14
47 1 1 1 3 1 6 5 6 1 9 2 7 5 4 14 3 11 10 16 17 16 7 19 8 21 18 11 20 4 23 2 24 2 27 19 6 11 19 37 17 40 27 16 28 24 1
43 1 1 2 4 4 6 3 7 5 10 4 2 1 7 11 3 14 6 2 2 5 13 19 12 21 17 18 23 12 18 17 31 4 3 34 7 19 19 37 18 16 13
56 1 2 3 1 5 2 5 8 5 7 3 12 2 3 15 16 12 11 4 11 8 7 11 1 11 21 13 17 29 5 4 10 21 30 34 1 15 8 8 26 18 5 8 44 38 45 45 44 46 23 47 6 34 28 37
52 1 1 1 3 5 1 7 7 7 8 9 1 4 12 2 8 3 10 17 14 10 7 12 2 18 2 10 3 3 18 19 11 5 1 21 29 15 8 11 3 18 37 32 30 22 43 34 9 32 50 14
9 1 1 1 4 4 1 1 5
47 1 2 1 4 4 3 3 7 7 7 9 11 8 12 8 10 9 14 6 16 5 2 10 10 19 3 10 20 5 22 9 5 1 32 23 15 15 5 25 8 14 38 28 27 16 4
71 1 2 3 2 1 1 1 2 4 10 8 10 3 1 11 16 12 16 17 18 11 20 17 4 8 23 4 18 9 8 20 15 24 31 1 32 17 35 1 10 30 38 26 14 25 14 34 24 1 47 49 18 29 17 46 11 8 37 39 23 14 40 47 63 55 64 55 44 56 68
10 1 1 3 4 2 3 4 2 7
62 1 2 3 2 5 1 4 7 1 10 11 1 9 4 11 8 11 2 15 12 12 15 15 5 9 7 13 6 23 9 9 30 33 23 2 17 7 14 3 9 35 39 4 34 31 38 26 24 44 11 42 4 38 52 38 42 7 46 38 59 50
59 1 1 3 3 1 4 2 2 8 10 5 6 4 2 9 5 6 11 19 15 17 20 5 18 2 26 12 21 13 21 1 27 21 12 21 18 3 6 13 32 16 5 15 10 14 24 25 22 6 18 4 25 51 30 8 23 50 38
78 1 1 3 4 2 2 5 2 8 7 3 2 12 9 12 7 7 11 17 20 3 1 21 23 3 19 7 23 13 14 18 30 3 33 5 12 35 19 17 10 25 18 41 4 24 20 2 16 24 28 17 38 42 23 55 12 53 37 16 46 35 39 15 56 29 21 59 10 53 4 38 10 46 40 43 45 19
88 1 2 2 3 1 2 4 4 4 10 10 6 5 11 10 9 17 13 1 8 11 5 20 6 23 16 19 8 14 24 3 6 26 9 11 11 5 6 30 37 33 34 9 33 37 12 3 36 24 25 25 12 11 45 30 13 49 13 27 15 37 46 50 10 53 24 14 34 57 30 42 17 57 56 70 74 12 77 29 55 7 43 31 82 40 45 59
45 1 1 3 2 4 6 3 2 2 6 4 6 5 14 13 9 15 18 17 16 4 7 1 10 4 22 20 7 21 1 6 30 3 4 26 9 20 26 13 28 26 11 31 4
83 1 1 3 3 1 4 5 2 2 4 4 11 2 9 14 8 12 10 19 19 13 12 2 3 22 26 13 4 2 29 28 2 4 21 8 19 8 2 22 38 40 36 10 18 10 6 42 15 29 48 5 45 5 44 6 1 7 44 36 5 59 51 47 27 64 10 57 56 42 44 41 4 2 44 65 6 25 57 44 70 29 75
46 1 1 3 2 5 6 4 6 6 10 5 5 10 12 4 10 2 8 19 2 11 16 17 22 23 17 6 8 7 27 25 11 3 29 17 7 2 4 32 36 38 21 42 6 20
74 1 1 3 2 2 2 3 7 8 3 7 1 8 10 2 14 7 4 17 3 9 19 11 3 10 4 22 23 23 3 24 27 19 33 31 11 2 18 23 35 26 27 31 17 15 20 26 16 47 18 29 32 35 12 20 23 14 49 28 48 24 13 47 16 48 20 44 24 68 42 37 39 28
94 1 2 1 4 1 1 1 2 3 5 1 5 8 5 11 9 16 16 6 8 12 9 23 4 7 14 9 7 20 19 17 21 8 26 15 24 29 19 28 5 19 37 9 7 30 21 14 33 16 1 27 5 51 34 47 55 22 7 51 10 4 38 56 14 41 53 43 43 17 56 28 9 65 56 52 43 71 43 16 44 42 73 54 84 72 50 68 11 56 81 61 86 15
19 1 2 1 1 5 1 6 1 5 3 11 3 12 14 4 5 3 9
12 1 1 3 2 1 3 2 3 4 1 11
42 1 2 3 2 4 2 6 1 3 3 1 1 3 5 9 3 13 18 17 2 15 3 23 17 22 9 3 21 28 10 23 18 5 21 13 32 1 35 17 26 24
19 1 2 1 3 3 6 2 2 9 7 4 7 2 1 5 13 11 18
67 1 1 1 4 5 6 2 5 2 7 1 1 9 9 10 4 1 8 17 13 18 1 18 5 6 3 5 18 28 21 9 13 12 31 21 35 25 29 32 19 29 28 9 32 29 8 20 40 45 42 18 29 20 5 16 8 55 14 28 25 38 62 16 32 3 14
84 1 2 3 4 4 1 7 1 1 4 10 7 1 11 5 2 1 7 13 13 2 20 11 10 22 25 10 9 9 22 31 3 31 13 27 30 36 5 16 13 7 22 6 32 25 17 8 14 38 8 23 26 12 33 12 10 9 35 2 16 20 44 20 2 58 14 26 27 32 3 5 8 34 8 26 55 73 11 64 65 37 36 31
27 1 1 3 2 4 6 6 6 7 3 6 9 11 12 7 9 13 2 11 8 8 3 6 5 4 15
39 1 2 2 2 5 2 2 2 3 1 10 9 5 2 11 6 17 6 12 3 13 8 11 1 18 17 20 4 10 7 6 31 3 1 9 19 8 34
6 1 1 3 2 2
76 1 2 1 1 3 5 5 5 9 6 5 5 5 3 14 13 17 10 13 5 21 17 11 18 3 15 26 27 11 12 17 5 10 15 18 7 21 26 6 7 23 15 21 37 33 30 9 38 20 45 50 29 41 15 43 39 33 12 43 31 12 38 16 51 3 65 53 21 58 33 10 34 42 2 40
69 1 2 1 3 5 6 1 8 1 7 7 1 11 10 1 15 14 14 5 12 10 8 10 14 1 17 4 6 7 22 27 32 29 25 26 30 2 1 23 7 17 17 19 25 15 12 26 29 11 20 23 10 24 37 1 48 13 11 36 14 60 53 49 26 14 50 14 28
4 1 2 3
67 1 2 2 2 2 1 7 8 5 7 9 12 5 11 13 15 3 6 18 1 1 22 13 8 20 8 9 20 24 10 5 25 31 4 34 15 11 36 3 1 22 37 24 38 40 37 24 47 34 6 10 3 4 11 19 51 4 2 2 51 37 47 45 18 37 10
36 1 2 1 4 3 5 2 5 7 8 3 11 7 1 14 16 9 8 15 18 21 13 23 23 21 3 22 19 2 21 5 6 20 28 9
81 1 2 3 1 3 4 2 3 1 10 8 12 4 9 10 14 11 9 4 20 2 21 11 11 12 23 21 3 11 17 27 22 13 25 24 23 26 33 17 37 40 24 15 4 42 16 33 10 37 2 51 52 23 6 28 53 38 26 17 7 3 16 7 57 40 48 35 62 39 6 36 15 72 39 72 47 69 55 77 67
72 1 2 2 4 4 5 5 8 9 5 6 1 3 1 12 14 1 4 2 9 16 18 13 4 6 5 6 10 19 26 23 12 32 29 6 35 36 6 30 6 7 12 20 37 41 41 23 30 18 19 42 4 32 27 5 31 27 50 57 22 32 46 34 55 43 33 24 62 67 64 18
46 1 1 3 4 1 6 1 2 9 7 11 1 12 13 9 4 2 15 3 8 19 8 3 11 6 4 9 5 24 17 8 6 1 26 5 33 9 16 27 15 3 14 3 29 34
92 1 1 2 3 2 1 1 5 6 3 4 1 8 1 4 14 12 14 1 10 20 9 4 2 18 12 13 25 25 17 15 27 11 2 33 16 10 36 28 39 13 15 15 40 29 28 23 25 38 30 50 17 1 30 11 49 37 23 29 47 29 43 57 43 43 9 17 9 57 66 39 55 55 57 40 63 62 38 26 39 34 2 16 82 52 33 84 57 70 29 38
84 1 1 1 1 2 3 2 1 6 1 5 4 3 4 3 13 4 7 5 12 21 8 3 6 3 22 5 20 7 15 10 20 28 18 15 28 20 9 31 31 24 9 29 44 39 29 25 3 28 7 33 22 24 30 28 26 2 19 48 42 49 11 3 15 49 5 60 65 13 18 1 50 17 3 26 35 75 73 5 57 51 81 20
44 1 2 1 2 3 3 4 3 6 3 6 4 4 9 4 3 4 9 6 17 16 8 9 18 7 15 24 10 10 14 5 15 18 24 16 4 19 15 26 37 5 38 25
35 1 2 1 1 2 5 2 5 4 5 11 3 9 11 8 2 9 4 11 12 17 3 16 14 22 20 15 4 21 28 13 20 8 32
37 1 1 3 4 1 5 2 3 4 7 11 11 7 9 2 6 6 9 17 4 18 10 1 15 8 26 21 1 24 26 2 30 6 3 25 13
37 1 2 3 3 5 5 5 4 7 4 7 11 1 13 6 15 3 8 7 13 17 4 17 22 8 20 19 14 16 23 26 3 19 34 24 25
54 1 1 1 4 5 4 1 4 5 8 11 3 10 9 11 8 4 17 18 11 15 21 3 18 1 24 2 7 19 22 8 11 18 6 32 1 18 37 2 6 21 23 9 8 29 37 27 48 10 47 39 20 42
99 1 2 2 4 4 5 2 8 8 7 2 2 12 2 3 9 16 8 7 7 2 22 17 21 5 16 2 27 14 25 13 6 22 2 25 11 26 24 3 35 29 25 29 26 25 8 31 20 22 39 45 9 22 23 38 3 43 5 27 26 49 30 45 43 61 14 49 16 15 22 24 24 61 72 67 70 62 78 56 38 69 49 47 81 2 47 60 47 28 34 57 77 37 1 21 56 77 48
9 1 1 3 4 4 4 3 2
44 1 1 1 4 3 3 1 2 5 3 8 5 11 6 5 10 3 1 4 7 21 13 2 2 12 21 3 17 23 26 28 25 12 17 23 11 1 25 3 28 27 1 10
93 1 1 1 2 1 1 3 4 5 9 4 2 3 1 2 9 8 11 14 13 21 4 6 8 7 22 23 9 5 24 10 9 11 31 29 22 16 30 3 25 10 5 38 25 21 17 20 19 15 34 44 35 34 37 47 17 43 12 38 24 14 34 15 21 57 41 53 14 4 58 3 31 6 26 38 54 73 40 58 54 51 80 72 53 68 57 29 56 55 88 76 85
19 1 2 1 4 4 4 3 3 7 9 7 9 9 12 8 15 13 2
45 1 2 3 4 2 2 5 6 7 7 2 6 9 5 9 13 5 14 16 18 20 12 16 4 22 14 18 12 18 28 12 8 3 8 30 13 37 6 25 39 29 37 12 20
94 1 2 3 4 1 2 6 5 1 1 7 7 9 5 8 1 16 13 2 3 5 1 13 18 2 21 7 15 1 14 4 21 33 16 16 31 19 9 7 27 24 40 33 6 2 15 29 35 33 39 7 36 49 20 34 3 13 52 13 50 13 4 34 11 15 7 11 44 21 20 33 4 24 43 34 63 21 71 35 61 42 75 46 35 3 58 71 83 59 44 71 26 43
54 1 2 3 2 4 6 7 7 1 4 11 2 2 4 14 13 8 11 12 5 8 18 6 12 5 2 25 14 7 17 21 14 3 28 13 21 35 21 21 28 18 5 26 11 1 4 1 14 40 48 40 38 51
76 1 1 1 4 2 5 3 5 8 10 4 3 6 5 4 16 15 3 15 11 5 1 22 4 22 9 26 17 16 30 27 22 26 13 8 27 35 17 26 31 17 6 15 2 15 17 14 21 21 44 34 44 12 37 9 42 48 11 57 54 31 34 54 3 18 35 28 12 22 40 53 52 27 52 8
100 1 2 2 2 4 3 5 6 9 7 6 2 7 12 1 12 10 17 8 2 14 17 5 20 12 20 9 17 7 8 7 11 20 24 2 2 25 12 27 39 4 28 2 21 43 21 20 13 14 31 46 20 2 12 13 45 35 23 25 42 39 26 24 60 37 10 22 41 61 33 56 17 6 55 69 43 16 6 43 66 65 30 30 77 71 73 62 67 41 33 15 65 14 94 85 47 97 87 36
81 1 2 1 3 2 4 6 8 7 6 11 7 4 10 10 16 4 10 14 6 12 18 10 17 5 26 18 27 6 16 7 12 29 15 17 30 21 34 28 13 30 17 28 19 19 37 34 17 10 8 40 11 18 17 24 18 48 47 47 17 48 19 1 10 9 62 60 10 30 6 46 18 57 9 60 30 43 16 10 49
8 1 1 2 1 1 2 2
98 1 1 3 3 3 1 6 2 3 3 2 12 6 4 8 3 8 4 15 7 16 4 13 20 2 20 14 6 26 15 5 7 32 15 5 6 10 10 29 10 28 16 24 22 8 24 16 10 18 22 45 16 24 35 29 41 27 41 41 48 25 46 57 38 59 49 28 39 24 31 15 6 28 52 16 22 72 18 21 32 13 49 52 34 61 46 50 25 46 84 7 90 73 32 1 75 79
70 1 1 1 1 3 2 1 8 7 9 1 6 1 9 11 8 2 7 17 12 2 5 18 8 14 21 19 10 28 21 21 1 23 19 32 19 26 29 9 16 30 19 21 11 24 39 5 44 7 4 38 34 38 44 43 21 21 25 26 10 41 58 36 32 62 10 17 44 12
80 1 2 2 2 1 4 2 7 6 10 9 6 1 14 15 8 3 9 6 17 14 19 14 22 3 3 1 24 4 11 30 24 30 3 22 26 4 32 32 33 19 40 38 5 7 23 33 1 49 13 14 19 23 7 19 12 11 52 27 38 1 26 62 3 18 7 14 29 47 35 53 46 64 12 55 35 14 6 50
7 1 2 1 2 4 2
55 1 2 3 3 2 1 4 6 1 1 9 9 3 12 9 6 4 16 1 7 19 21 21 8 10 15 21 1 6 20 27 29 7 11 17 22 19 20 20 27 36 4 26 14 19 7 29 35 2 15 18 25 7 43
11 1 1 2 1 4 3 3 2 4 7
56 1 1 3 4 2 1 2 1 3 5 8 12 5 12 9 3 9 8 6 11 6 17 19 18 2 10 24 14 20 19 15 6 20 26 4 33 12 26 22 22 21 16 16 3 38 10 41 17 40 26 10 5 43 39 10
87 1 2 2 3 2 6 1 4 3 10 5 4 5 4 2 5 5 2 6 15 15 10 12 7 4 3 27 21 3 30 20 11 6 33 25 19 13 29 34 34 24 42 3 16 26 6 35 9 36 15 32 17 35 10 30 23 6 31 13 27 42 25 40 49 32 24 16 42 11 47 22 67 8 68 64 32 49 22 75 77 49 25 79 3 63 5
28 1 2 2 3 4 2 7 8 4 10 9 2 12 7 9 1 16 9 15 7 6 21 12 20 9 22 25
76 1 2 3 2 5 1 5 8 2 3 11 2 13 4 15 14 15 17 1 3 21 3 15 19 17 8 21 2 28 10 23 29 31 21 35 14 27 20 7 16 32 26 25 25 15 15 14 46 3 5 41 20 10 46 34 10 26 49 49 12 35 43 21 54 62 18 59 63 42 3 28 46 58 73 68
40 1 1 2 4 3 2 2 2 2 5 6 10 1 13 6 16 7 4 14 20 4 21 12 24 19 10 17 14 19 9 27 17 21 14 27 35 16 12 29
