1000 1000
569 416 40
457 7 19
964 294 37
881 851 48
726 795 47
185 404 149
570 333 30
288 114 5
873 657 46
421 745 40
407 250 1
379 671 450
125 308 50
425 424 38
633 220 30
165 750 406
599 942 19
684 674 7
471 380 38
177 650 24
49 49 12
669 480 33
146 50 116
802 613 30
270 569 50
521 995 30
390 197 3
691 931 43
273 987 49
550 619 41
409 686 30
253 277 18
750 314 9
814 724 40
285 902 15
17 922 33
79 940 234
1 357 20
402 279 26
315 891 30
359 543 20
406 627 22
40 55 99
416 990 38
353 917 33
256 5 12
565 535 49
474 523 15
680 644 50
695 585 40
333 755 40
329 41 36
336 454 35
467 459 46
521 906 11
502 524 173
546 165 38
330 986 11
613 926 43
360 901 43
195 507 7
523 801 1
300 361 50
427 470 38
986 835 26
230 4 45
4 422 34
585 766 24
370 713 89
791 329 4
107 668 34
127 991 251
494 745 21
260 569 17
693 823 292
310 254 254
213 358 39
524 396 22
592 450 36
279 540 19
189 163 25
126 554 24
892 668 36
12 277 5
488 481 29
232 980 39
285 135 43
781 721 44
923 530 30
126 834 20
694 960 28
497 2 38
96 827 11
566 587 8
214 680 91
516 65 4
160 843 4
194 422 26
205 103 37
238 883 418
35 1000 14
902 962 4
488 101 36
110 951 11
85 666 17
329 971 24
736 680 14
656 323 169
334 168 19
507 855 46
752 355 44
826 110 42
917 746 141
600 145 45
974 768 242
997 551 45
22 600 353
592 978 17
455 722 108
93 548 8
607 791 36
508 42 8
85 884 36
950 615 11
660 494 50
100 827 32
675 805 14
123 993 23
460 416 18
281 321 38
768 901 357
520 152 436
55 731 11
591 203 11
267 170 24
575 895 16
680 425 194
1000 78 58
295 783 18
867 542 18
338 895 1
246 70 12
20 778 18
349 710 26
945 844 29
997 551 39
627 37 15
177 8 47
154 116 136
235 338 20
741 342 25
127 776 4
857 817 31
350 560 126
582 450 30
906 736 33
794 184 6
36 599 4
527 173 15
688 973 27
724 143 15
468 862 28
451 507 1
860 345 131
573 445 43
429 652 50
581 582 39
823 157 19
681 954 35
370 542 32
855 111 31
625 258 11
94 642 6
38 194 36
385 797 2
111 134 208
968 948 34
798 901 2
938 476 20
356 737 37
254 499 15
710 904 185
181 498 46
913 633 49
500 249 2
942 76 236
114 695 2
862 621 29
43 105 42
899 824 26
722 89 93
850 2 25
731 485 13
329 387 36
702 100 5
432 332 48
61 334 13
752 476 34
100 614 15
38 294 45
251 475 1
325 29 34
692 704 24
733 513 31
905 72 19
494 386 16
607 684 2
102 389 131
684 50 32
76 646 11
625 878 2
571 940 27
801 410 20
974 88 16
816 174 32
885 601 48
838 32 29
182 378 29
763 719 41
140 425 22
50 836 20
34 471 67
556 640 3
692 246 160
875 266 3
592 192 173
672 435 50
146 187 179
527 600 4
530 454 39
249 735 33
807 84 2
795 293 16
76 528 28
968 384 26
947 36 26
610 40 10
474 400 27
300 363 24
451 447 45
398 302 9
415 430 12
566 817 7
467 619 148
61 420 4
875 986 15
647 450 39
966 955 348
786 819 49
455 613 26
249 737 48
136 273 74
662 748 2
602 687 13
608 816 5
601 167 31
256 151 33
351 527 47
746 547 15
780 995 42
804 623 30
880 355 43
732 928 44
915 39 317
426 519 17
986 522 30
943 127 43
893 17 20
437 718 46
664 37 75
719 69 34
558 983 37
556 565 49
221 351 30
656 5 20
796 195 20
194 72 8
574 273 77
226 783 7
556 186 20
902 328 17
694 416 31
867 584 37
519 264 33
553 97 42
858 828 49
194 993 36
48 879 43
806 213 19
365 638 3
680 629 9
440 456 36
951 637 17
135 446 6
509 396 40
769 852 20
491 457 14
841 135 47
121 947 7
35 704 435
784 526 32
480 792 38
577 752 13
689 718 8
298 860 14
46 519 3
793 505 46
839 916 34
808 288 22
711 876 40
640 684 16
2 446 41
729 567 40
655 54 46
226 362 5
386 862 77
228 815 17
480 943 10
355 902 45
597 79 95
128 579 482
817 881 30
530 750 31
343 196 22
244 897 155
119 783 38
953 24 42
539 952 42
413 758 35
534 820 11
427 370 16
945 7 35
144 689 46
250 625 49
331 206 39
818 679 245
963 877 39
688 271 20
912 500 47
342 961 4
482 623 22
664 917 25
975 996 112
731 146 5
548 337 13
875 17 42
908 406 9
647 206 38
517 802 109
42 721 36
482 779 50
640 760 34
458 78 47
974 37 39
892 950 177
340 122 194
434 923 142
512 260 205
502 226 44
559 728 50
267 19 439
289 784 28
322 624 48
359 909 36
842 216 43
283 598 23
797 427 33
392 584 30
885 151 42
139 879 49
867 552 20
274 582 79
393 498 33
636 264 26
719 410 88
440 205 29
683 411 31
127 861 33
67 50 36
549 349 29
432 970 7
338 586 33
922 531 171
622 966 21
409 369 16
932 55 5
45 719 180
334 469 56
10 48 22
566 824 39
860 869 49
982 119 25
636 577 46
5 754 29
237 679 49
191 808 24
136 932 17
586 157 39
348 230 71
864 298 48
852 37 116
826 193 43
754 145 10
438 607 31
393 92 93
654 257 37
935 928 28
436 563 1
142 929 5
106 635 4
175 627 27
204 608 37
301 639 43
492 8 36
767 674 36
629 537 39
760 43 5
595 785 1
805 957 24
386 664 33
792 794 31
896 155 187
518 573 39
49 702 7
883 465 12
414 767 19
721 867 44
218 984 153
844 248 47
266 256 11
163 330 3
389 740 27
274 771 8
206 429 49
775 412 64
482 645 4
308 207 27
220 148 116
929 618 32
442 580 15
395 460 31
300 553 23
958 25 42
291 718 21
467 538 48
790 953 47
360 687 120
935 579 179
608 891 40
901 427 64
514 522 34
218 860 482
197 663 18
670 917 25
192 285 25
218 589 28
659 968 32
170 688 49
872 394 272
811 656 10
525 231 44
556 860 32
477 944 6
313 456 31
385 321 43
105 875 48
503 940 26
571 468 85
229 818 19
518 453 46
622 777 39
20 630 26
611 962 17
841 834 30
917 442 29
429 264 26
544 919 32
337 453 345
380 478 15
997 962 49
429 504 39
926 506 41
143 946 4
96 543 39
59 224 48
326 431 193
984 675 49
137 727 47
332 543 28
628 134 13
535 258 15
179 527 44
284 460 28
803 121 43
739 25 37
632 532 16
180 717 13
628 972 38
753 437 12
265 410 30
338 781 47
527 91 27
30 88 25
554 446 42
853 193 49
677 880 49
600 156 24
46 806 13
337 709 148
685 448 37
168 747 9
962 479 29
323 215 10
934 376 48
98 790 27
283 316 14
376 350 38
145 522 23
495 2 50
568 568 31
443 263 13
845 470 10
130 604 32
289 646 13
546 196 10
108 518 3
616 844 22
686 290 289
298 964 24
323 991 10
722 436 38
569 47 36
977 487 6
814 601 24
877 387 32
155 719 20
545 906 25
599 968 13
734 532 18
727 539 17
388 658 112
99 672 45
406 653 34
920 177 35
726 665 24
447 393 20
956 58 146
356 778 2
214 969 35
144 975 24
140 96 40
983 855 53
543 591 28
113 388 4
445 743 36
255 646 30
797 526 41
307 949 9
403 701 123
895 44 44
604 885 198
527 631 31
83 824 43
642 189 261
704 987 43
641 190 36
940 901 12
630 75 128
333 509 26
17 466 20
990 651 34
294 310 13
92 834 21
400 856 13
991 683 43
320 264 21
964 61 42
659 233 43
331 621 24
808 760 40
602 718 30
800 371 2
94 383 46
840 84 6
60 387 43
211 233 185
528 391 41
182 704 450
511 832 21
137 169 50
53 294 23
114 631 75
359 170 44
177 266 16
910 984 47
378 799 52
101 450 41
511 970 13
87 856 17
733 877 127
740 154 48
834 561 29
133 451 28
199 437 47
332 417 42
38 145 47
211 968 43
709 733 36
611 61 5
104 346 4
105 193 39
902 340 34
936 757 50
500 709 11
783 829 9
898 53 28
712 676 34
373 601 14
445 992 39
185 337 31
619 651 42
253 805 26
692 352 29
608 811 31
983 719 30
548 335 456
917 471 43
982 65 68
452 904 6
747 944 6
563 312 4
174 350 55
429 231 25
682 334 38
553 650 1
163 342 25
304 914 24
489 401 35
906 890 2
420 460 44
289 422 2
903 391 31
852 258 27
125 940 39
208 23 106
384 395 32
567 2 7
306 575 33
268 313 15
93 549 134
927 314 154
586 484 5
777 723 7
439 955 44
727 329 24
507 556 29
905 43 37
386 345 10
564 436 15
315 421 59
120 105 43
942 787 25
906 598 9
456 354 21
32 662 3
81 1 2 1 3 3 3 3 8 4 6 5 12 13 8 13 9 1 1 2 18 20 15 5 20 14 1 14 27 9 6 18 29 3 19 13 15 23 33 25 8 17 13 27 31 16 7 27 36 17 38 46 23 13 15 44 25 21 49 17 16 38 30 25 56 28 3 54 25 23 34 63 35 62 57 29 35 44 66 12 28
8 1 2 1 1 5 5 4
26 1 2 1 4 3 1 5 3 9 3 1 3 4 2 6 6 6 18 8 15 11 21 1 3 17
78 1 2 3 1 2 1 7 5 1 3 10 6 13 3 7 8 2 16 12 15 14 12 4 13 12 15 3 1 22 29 17 9 28 19 18 22 23 21 21 25 16 10 34 17 5 46 35 40 10 3 4 41 18 9 3 35 38 24 26 56 19 51 21 2 33 58 42 2 58 32 64 13 54 72 14 7 23
48 1 1 3 3 2 1 1 7 2 8 8 2 1 3 14 10 7 3 4 16 20 22 10 8 4 25 4 12 16 16 12 31 24 17 12 8 17 37 33 21 6 26 15 1 13 36 9
23 1 1 1 4 3 5 7 6 8 8 5 1 13 11 15 10 11 12 10 19 1 11
47 1 1 1 3 4 6 1 6 3 7 1 8 6 7 10 15 1 12 15 19 17 9 15 20 17 6 23 21 25 14 26 4 8 16 14 18 24 17 8 34 23 10 28 44 24 40
86 1 1 3 2 2 2 7 3 6 3 9 10 12 2 1 4 13 9 13 18 16 2 17 19 2 12 8 22 21 21 22 32 5 1 10 17 35 7 39 26 23 12 14 1 33 21 29 5 21 25 32 31 20 49 47 35 5 46 1 9 31 40 42 2 29 57 50 42 42 48 60 60 70 46 73 25 25 35 12 59 30 75 74 75 63
65 1 2 2 4 3 5 2 7 8 5 5 7 13 14 11 14 16 9 14 20 13 7 9 15 7 26 27 24 23 28 27 31 7 24 20 14 33 38 29 5 19 32 41 13 43 5 5 31 4 5 25 39 10 3 39 35 27 15 32 44 24 11 42 38
90 1 1 3 4 5 4 1 8 5 6 4 9 6 2 14 9 5 2 15 11 12 20 22 23 16 17 5 6 14 27 16 8 3 22 17 15 20 30 2 6 1 25 17 7 13 44 13 2 20 32 23 29 44 31 45 17 41 5 45 13 31 36 26 8 45 30 19 55 16 45 22 27 73 14 39 59 27 1 64 33 39 46 54 26 23 4 70 80 14
68 1 2 1 4 1 5 2 4 4 6 7 1 6 4 10 1 11 6 3 16 1 17 7 12 20 2 21 25 9 14 26 4 23 5 25 26 2 13 11 13 3 15 21 14 32 13 42 37 14 10 30 3 13 9 4 41 3 21 9 50 38 25 15 7 36 41 36
18 1 2 2 4 5 6 2 7 1 7 5 8 13 3 2 10 7
77 1 2 1 2 1 2 7 2 1 9 1 3 2 8 8 13 4 17 4 14 19 8 8 5 17 1 16 28 24 22 18 26 9 17 24 12 6 6 3 32 4 11 13 22 9 18 19 31 47 29 15 5 16 11 34 18 44 54 29 58 61 11 25 16 49 5 13 38 35 26 1 44 56 5 37 36
51 1 1 2 2 4 6 2 3 9 2 8 3 11 14 15 9 9 10 18 1 10 21 18 20 22 24 20 18 27 27 15 9 17 25 35 12 16 16 11 31 9 23 34 29 18 3 5 48 41 14
95 1 2 2 3 1 4 3 2 4 6 4 9 12 3 12 4 17 11 1 19 11 19 2 23 11 9 16 16 7 17 11 11 18 32 30 20 32 12 15 11 26 4 20 34 42 24 10 5 14 20 7 27 13 36 6 55 37 31 42 47 52 20 50 57 6 14 59 49 64 45 3 8 43 26 22 36 69 5 31 40 63 36 19 30 7 42 3 62 30 60 40 2 21 38
57 1 2 1 1 3 5 7 5 1 8 4 10 2 13 6 5 12 17 15 10 9 6 14 10 4 21 10 26 2 29 8 2 8 2 2 29 7 33 38 2 20 39 3 42 1 41 38 37 19 23 27 45 23 29 2 40
63 1 2 3 4 3 5 5 1 1 4 7 12 2 2 7 11 12 1 10 18 4 6 9 13 23 6 1 8 21 13 21 25 20 33 27 18 1 37 12 22 13 24 37 31 45 31 29 24 32 27 25 46 37 25 51 8 5 29 27 19 12 19
41 1 1 2 3 4 4 1 5 9 5 7 7 6 7 14 4 15 6 9 14 18 12 21 17 23 3 20 25 16 20 14 1 20 32 11 33 11 30 19 15
12 1 1 1 2 3 2 5 2 7 2 11
14 1 2 2 4 4 4 5 5 2 6 4 11 5
79 1 1 3 3 1 4 1 4 2 5 3 5 10 8 15 4 2 8 4 17 18 5 1 17 13 10 16 14 8 18 19 18 32 7 28 12 4 3 35 15 32 6 36 41 13 36 36 41 10 29 18 41 4 50 29 38 6 43 56 49 10 19 33 31 25 56 51 52 53 8 14 29 30 34 75 56 71 34
80 1 2 3 2 3 3 7 5 1 9 11 6 11 12 12 11 9 15 17 5 13 2 22 12 21 7 13 12 7 24 31 22 4 17 22 3 26 8 18 19 30 25 34 40 26 35 47 23 27 39 31 8 7 15 39 19 20 9 3 11 3 8 9 21 25 30 20 55 28 70 22 68 56 71 48 4 9 54 53
54 1 1 1 2 4 1 7 4 1 9 11 2 6 10 11 4 5 11 1 15 15 14 12 8 10 10 23 21 29 26 1 24 32 10 11 16 17 3 28 33 32 18 13 8 19 42 7 12 38 12 36 20 46
24 1 1 1 3 2 1 5 1 9 2 2 10 7 2 11 5 7 11 9 11 5 5 14
23 1 1 1 4 3 6 4 8 7 7 2 10 12 3 5 2 15 1 1 11 9 8
49 1 2 3 3 2 5 2 4 5 10 3 1 7 8 1 12 4 12 14 18 16 16 22 23 18 13 7 22 18 22 7 20 14 21 34 4 9 18 17 8 15 26 14 44 43 41 12 27
31 1 2 1 4 5 3 5 2 3 2 4 8 2 7 14 5 10 18 19 11 12 22 11 20 13 1 25 10 15 23
35 1 1 3 4 1 2 7 5 8 4 7 10 8 12 14 9 17 16 14 5 14 20 1 24 1 13 23 13 27 26 19 12 11 16
6 1 1 3 2 5
31 1 1 2 4 2 6 2 1 5 3 8 11 6 5 6 13 15 11 6 3 10 20 4 21 12 2 23 8 4 25
60 1 2 1 2 5 1 6 8 7 2 4 11 8 8 14 16 17 3 16 2 13 5 9 1 8 8 17 25 1 5 8 28 14 30 17 17 24 2 2 2 33 2 28 18 16 34 7 41 47 28 15 32 22 52 44 54 9 24 33
85 1 1 3 1 1 4 2 3 3 10 10 10 6 12 7 14 14 2 17 13 21 18 8 5 18 17 22 11 28 29 28 9 6 26 27 25 24 9 23 22 9 25 18 26 24 41 8 17 26 46 23 25 2 9 1 22 1 21 28 53 23 49 5 3 29 9 48 35 23 57 35 53 19 8 27 47 58 58 62 31 22 82 41 18
67 1 1 2 4 5 6 3 3 9 2 6 7 13 7 14 5 3 11 15 17 11 4 17 21 4 20 16 9 14 7 2 21 4 3 2 10 9 19 11 12 14 10 8 30 29 13 9 21 17 36 1 38 29 45 22 18 52 58 8 5 7 40 49 36 35 32
28 1 1 2 1 1 4 7 7 7 2 7 3 9 3 15 2 15 9 10 7 14 19 8 5 21 26 24
100 1 2 2 1 5 6 1 8 6 10 7 8 1 1 11 6 6 16 8 14 13 21 20 13 24 15 10 3 19 14 15 31 2 17 20 35 35 37 23 16 9 16 18 24 6 11 5 3 36 5 19 16 8 2 43 53 32 19 19 21 21 53 22 31 35 60 46 8 41 15 4 28 72 48 20 66 19 69 19 53 16 41 2 77 57 45 69 4 66 89 76 86 67 25 48 75 64 27 74
46 1 1 3 4 4 1 3 7 6 3 6 12 9 8 9 12 9 2 8 15 15 11 7 18 11 11 27 14 4 24 19 30 17 14 33 15 17 17 34 14 33 18 37 22 43
76 1 1 3 3 5 6 2 5 4 10 8 10 5 7 14 1 9 11 1 19 21 7 22 23 21 5 14 6 15 18 31 2 4 18 22 17 2 24 23 30 16 40 12 33 29 17 37 29 38 17 22 12 48 48 4 7 26 6 16 36 10 3 27 47 17 46 7 49 66 13 4 52 9 46 21
10 1 1 1 2 2 5 2 8 6
77 1 1 2 2 5 6 5 1 5 1 2 4 11 9 13 9 1 11 6 8 11 12 10 1 24 17 11 10 2 18 20 19 3 2 17 25 24 8 26 22 33 42 20 1 6 40 44 22 11 31 30 35 40 24 5 29 18 4 37 14 6 62 33 29 45 25 21 1 47 17 51 23 23 47 1 56
24 1 1 3 3 1 4 2 8 3 3 8 11 11 11 10 7 2 14 9 14 3 3 11
18 1 1 1 4 1 4 1 8 1 3 10 8 12 7 2 4 3
39 1 2 3 4 5 5 5 2 2 10 1 8 5 8 12 9 14 16 18 11 7 21 12 3 25 25 19 3 21 4 6 12 25 26 23 18 32 1
82 1 1 2 2 4 4 2 4 4 4 10 7 6 7 9 6 14 8 9 17 15 9 22 6 21 26 11 27 17 22 20 16 12 31 25 10 23 20 19 18 40 20 28 34 22 5 47 23 9 5 48 6 33 42 40 40 25 36 10 50 52 9 24 25 48 34 56 52 38 17 15 63 12 45 68 46 21 59 1 68 55
19 1 2 3 4 4 2 1 3 4 6 8 1 5 11 3 8 15 10
34 1 1 1 3 1 5 7 3 8 9 6 6 9 6 10 16 1 10 5 14 4 8 11 11 1 16 23 17 3 15 27 18 12
5 1 1 1 3
31 1 2 2 1 4 3 3 3 6 4 1 3 6 2 1 7 9 15 7 3 20 2 10 18 16 8 24 3 17 23
19 1 1 2 2 3 5 6 2 3 10 8 1 11 2 15 11 8 8
77 1 2 3 3 2 3 6 8 3 7 5 4 8 14 7 11 9 12 16 6 20 19 16 5 3 12 17 22 7 9 9 21 32 1 35 3 23 9 28 3 34 28 28 19 8 33 47 39 15 20 11 43 38 1 31 28 15 42 44 50 32 17 8 11 56 44 63 47 68 15 53 58 1 64 24 44
76 1 2 1 3 2 6 6 1 3 5 6 4 6 12 1 2 7 7 1 16 9 9 17 6 5 26 24 26 14 21 14 9 13 25 15 5 25 10 12 14 36 16 43 29 19 19 6 46 28 35 40 52 52 20 46 18 39 37 36 51 59 32 26 19 45 19 41 9 22 20 46 71 52 61 45
8 1 2 3 1 2 4 2
50 1 2 1 2 2 6 1 4 2 1 1 12 6 1 12 1 13 7 9 20 8 11 21 15 17 19 4 13 28 8 4 30 31 34 32 21 31 10 8 7 15 13 4 21 23 40 26 17 44
27 1 2 2 3 1 4 6 7 6 4 1 9 2 2 12 8 11 3 15 19 7 14 7 15 12 16
79 1 1 1 3 2 3 7 8 4 6 2 1 2 11 7 8 15 13 14 16 4 3 13 18 17 17 16 2 15 26 17 11 10 20 7 14 1 28 34 37 11 42 36 39 23 46 33 2 25 23 50 4 32 53 29 19 2 51 28 23 16 42 52 60 52 5 22 43 26 29 23 24 16 34 19 24 40 55
48 1 1 1 3 5 1 5 3 6 3 4 2 8 5 5 3 13 10 13 11 7 18 22 19 24 1 26 8 8 30 3 13 7 27 32 8 11 10 35 9 1 23 40 32 30 26 14
61 1 2 2 4 5 1 3 4 5 1 7 3 9 1 12 5 15 7 6 19 15 14 23 12 21 15 14 10 8 13 14 24 7 2 22 36 33 28 14 30 11 34 15 23 39 22 23 23 40 3 23 30 21 7 26 50 19 26 17 6
54 1 2 3 4 5 1 1 2 9 9 11 7 1 7 1 2 2 7 18 14 12 20 1 11 17 12 22 4 6 8 30 1 27 21 2 29 28 3 36 17 21 30 31 31 35 30 25 7 15 10 43 33 1
99 1 2 1 1 5 1 6 5 9 6 6 6 1 9 4 8 15 6 6 19 9 4 18 11 1 1 22 12 23 23 15 22 17 34 5 7 16 6 35 32 34 3 18 18 21 4 13 48 47 49 37 40 24 21 45 49 20 6 26 31 20 19 54 48 40 9 40 59 38 27 29 22 44 47 53 43 22 77 26 71 16 2 79 31 69 60 59 67 4 13 65 72 57 34 75 25 76 33
45 1 1 3 1 3 5 1 7 4 2 9 10 5 1 6 6 17 4 2 13 16 15 20 8 1 17 2 19 29 18 11 1 20 3 22 5 19 17 21 18 38 30 26 39
37 1 1 3 3 4 1 5 3 2 3 11 1 13 1 3 4 11 2 4 5 9 21 8 14 17 5 25 9 9 2 19 4 26 26 12 6
100 1 2 1 2 4 3 6 1 8 6 11 9 4 1 15 3 13 8 19 8 5 17 13 14 20 10 2 18 19 12 7 31 20 24 4 11 20 32 38 1 14 26 4 32 31 3 9 48 46 15 26 46 8 15 38 27 4 28 2 51 19 51 7 9 1 59 3 52 16 10 14 13 56 61 19 23 62 13 9 33 12 58 76 47 22 32 20 35 72 26 76 17 54 39 20 23 37 50 1
28 1 1 3 4 4 3 6 4 8 3 5 12 10 2 3 12 16 10 18 20 3 18 23 6 22 9 6
32 1 2 2 4 2 1 6 1 4 1 3 6 2 8 9 7 9 1 17 20 14 1 11 7 15 10 3 8 6 8 22
38 1 2 1 2 5 4 6 3 7 2 11 2 5 13 10 4 7 13 7 14 5 22 17 19 15 12 8 24 5 29 17 19 17 8 4 13 31
20 1 2 1 2 4 2 1 5 1 10 10 4 13 10 15 16 2 17 17
20 1 2 3 4 5 1 6 5 4 10 1 2 6 9 12 8 3 10 16
77 1 1 3 2 2 1 4 5 5 9 4 9 2 4 2 7 5 1 16 16 3 20 17 5 13 23 9 20 19 28 25 26 13 29 32 3 23 14 7 33 19 31 40 35 11 21 39 25 14 6 34 7 13 11 34 53 47 22 9 34 36 60 30 55 58 21 26 41 46 59 57 53 3 21 58 43
16 1 1 1 1 3 3 4 1 4 8 4 1 6 12 7
95 1 1 3 3 5 3 2 2 1 7 5 12 5 7 3 8 11 11 15 19 6 21 12 7 2 21 4 16 9 3 10 18 23 28 27 14 30 27 15 32 11 30 20 22 28 39 21 4 11 29 12 31 26 20 4 43 35 50 41 7 31 49 4 18 1 44 32 43 32 19 5 10 63 6 36 36 62 32 77 52 47 2 16 79 34 3 10 12 6 32 62 40 27 84
3 1 1
2 1
45 1 1 2 2 5 6 1 2 8 5 9 8 5 14 4 13 6 2 10 20 17 20 21 5 21 20 21 3 21 30 4 8 24 19 35 20 37 30 9 39 2 4 17 42
5 1 2 3 1
91 1 2 1 1 1 2 5 6 8 7 8 7 4 9 6 3 1 6 7 1 14 14 15 9 5 17 5 7 10 22 16 31 30 21 8 1 37 22 16 21 38 12 1 40 44 38 12 17 19 43 33 34 12 19 13 51 3 44 23 5 2 16 52 42 53 47 28 9 68 42 31 61 34 15 14 55 32 49 37 73 58 15 22 76 55 13 26 83 87 23
49 1 2 1 1 2 6 7 6 8 1 8 7 4 2 10 3 13 6 5 13 15 1 18 10 14 25 26 17 12 5 15 14 13 19 10 18 27 8 37 35 7 23 40 33 26 25 31 26
13 1 1 3 4 1 5 5 1 6 5 11 12
13 1 1 3 1 4 6 4 5 5 10 5 6
98 1 2 3 2 2 4 1 7 9 7 11 5 3 1 11 9 1 5 12 7 15 22 12 21 20 24 20 8 28 1 11 1 4 12 4 31 2 35 5 14 3 17 19 35 23 35 1 5 2 10 20 49 2 33 50 13 7 9 19 52 25 28 22 8 34 43 14 60 21 43 1 68 28 18 72 32 69 10 30 41 31 23 51 62 44 2 77 71 25 34 50 60 32 27 56 33 83
39 1 2 1 4 1 1 4 8 1 6 6 6 2 7 2 3 6 10 12 8 2 14 22 4 13 25 16 27 2 25 31 21 24 26 8 34 2 31
40 1 1 1 4 2 3 4 4 4 4 9 12 1 8 9 4 10 11 2 10 2 3 12 23 10 21 3 13 16 9 17 14 14 4 25 18 27 29 15
80 1 2 1 2 3 3 4 7 1 10 6 12 10 4 13 12 12 14 9 4 3 10 21 12 24 3 1 8 18 6 19 30 28 9 11 34 17 17 16 27 38 22 9 4 15 10 15 7 13 11 47 17 29 11 2 10 51 55 30 32 17 36 19 63 10 66 45 16 63 58 13 10 57 27 27 24 51 60 7
29 1 1 1 3 2 3 6 6 6 1 2 11 6 1 9 7 2 5 8 4 9 2 14 11 2 9 23 25
26 1 2 2 3 2 2 4 8 5 10 9 9 1 1 15 15 7 16 11 1 3 11 22 18 5
39 1 2 1 2 3 3 6 1 9 9 4 10 7 7 6 5 10 9 11 20 15 3 22 14 19 13 1 22 1 12 2 6 32 33 24 28 23 35
